"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.097312500E-1,-3.938940912E-2,-4.385219887E-2,9.759015083E0,9.759193099E0
7.146937500E-1,-2.466027811E-2,-2.979344502E-2,9.701755524E0,9.701832611E0
7.196578130E-1,-4.245398194E-2,-3.857537732E-2,9.767414093E0,9.767582529E0
7.246203130E-1,-1.378102507E-2,-8.062713593E-2,9.735599518E0,9.735943130E0
7.295843750E-1,-3.814442083E-2,-1.402044483E-2,9.745406151E0,9.745490886E0
7.345468750E-1,-3.837426379E-2,-4.444596171E-2,9.735667229E0,9.735844309E0
7.395109380E-1,-4.669651017E-2,-1.659660600E-2,9.743222237E0,9.743348273E0
7.444734380E-1,-4.661989585E-2,-1.695094816E-2,9.743740082E0,9.743866354E0
7.494359380E-1,-8.491755277E-2,-1.454717014E-2,9.707223892E0,9.707606209E0
7.544000000E-1,-5.521029234E-2,-4.615063220E-2,9.756793022E0,9.757058375E0
7.593625000E-1,-5.700115487E-2,-4.925351590E-2,9.750213623E0,9.750504640E0
7.643265630E-1,-6.623319536E-2,-2.773443237E-2,9.719203949E0,9.719469195E0
7.692890630E-1,-1.871308126E-2,-1.145194545E-1,9.734756470E0,9.735448033E0
7.742531250E-1,-3.008074872E-2,-6.420291215E-2,9.820411682E0,9.820667618E0
7.792156250E-1,-3.613329306E-2,-5.013458431E-2,9.751852036E0,9.752047847E0
7.841781250E-1,-5.055596307E-2,-6.104256958E-2,9.713688850E0,9.714012208E0
7.891421880E-1,-3.724420071E-2,-3.133531287E-2,9.734794617E0,9.734916295E0
7.941046880E-1,-8.156566322E-2,-2.888364904E-2,9.714166641E0,9.714552010E0
7.990687500E-1,-3.869029880E-2,-7.538862526E-2,9.738663673E0,9.739032320E0
8.040312500E-1,-4.220498726E-2,-3.507026657E-2,9.774893761E0,9.775047786E0
8.089953130E-1,-6.709510833E-2,-2.811750397E-2,9.740416527E0,9.740688192E0
8.139578130E-1,-7.539819926E-2,-4.838202521E-2,9.786280632E0,9.786690672E0
8.189203130E-1,-7.320510596E-2,-1.991975866E-2,9.759206772E0,9.759501657E0
8.238843750E-1,-4.516422376E-2,-3.561614454E-2,9.714348793E0,9.714519071E0
8.288468750E-1,-6.904877722E-2,-4.255932942E-2,9.770382881E0,9.770719558E0
8.338109380E-1,-1.653914526E-2,-3.717716038E-2,9.780035973E0,9.780120618E0
8.387734380E-1,-3.601837158E-2,-6.472006440E-2,9.698192596E0,9.698475429E0
8.437375000E-1,-6.127241254E-2,-7.309976965E-2,9.746804237E0,9.747270937E0
8.487000000E-1,-3.106716089E-2,-3.048297763E-2,9.783454895E0,9.783551710E0
8.536625000E-1,-3.750277683E-2,-5.079538375E-2,9.738032341E0,9.738237033E0
8.586265630E-1,-3.887225688E-2,-5.628289282E-2,9.703153610E0,9.703394705E0
8.635890630E-1,-3.355713189E-2,-3.714843467E-2,9.719588280E0,9.719717198E0
8.685531250E-1,-5.255751312E-2,-4.137180746E-2,9.793941498E0,9.794169897E0
8.735156250E-1,-5.694369599E-2,-4.022258893E-2,9.710767746E0,9.711018003E0
8.784781250E-1,-3.866156936E-2,-5.598601326E-2,9.734919548E0,9.735157305E0
8.834421880E-1,-3.371993452E-2,-7.642291952E-3,9.752302170E0,9.752363460E0
8.884046880E-1,-9.491573274E-2,-4.726154357E-2,9.832297325E0,9.832869029E0
8.933687500E-1,-8.144116402E-2,-4.627513140E-2,9.793616295E0,9.794064232E0
8.983312500E-1,-7.701668143E-2,-2.791639045E-2,9.713150978E0,9.713496426E0
9.032953130E-1,-8.469728380E-2,4.577713553E-3,9.762817383E0,9.763185845E0
9.082578130E-1,2.533065341E-2,-4.186980054E-2,9.824137688E0,9.824259566E0
9.132218750E-1,1.580173150E-3,-9.505938739E-2,9.751086235E0,9.751549700E0
9.181843750E-1,-1.031900942E-1,-2.405693755E-2,9.669663429E0,9.670243935E0
9.231468750E-1,-1.175074130E-1,-7.913315296E-2,9.711571693E0,9.712604944E0
9.281109380E-1,-7.029376179E-2,-8.738835901E-2,9.704561234E0,9.705209254E0
9.330734380E-1,2.478477731E-2,-9.372820705E-2,9.797102928E0,9.797582612E0
9.380375000E-1,4.449384287E-2,-2.720770799E-2,9.795416832E0,9.795555669E0
9.430000000E-1,-1.964203082E-2,-2.783020027E-2,9.769109726E0,9.769169113E0
