"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.509109370E-1,5.935704708E-2,-1.671727449E-1,9.850626945E0,9.852224176E0
5.558734370E-1,1.175265759E-1,-2.081710547E-1,9.830381393E0,9.833287651E0
5.608375000E-1,1.488810480E-1,-2.167422920E-1,9.792974472E0,9.796504060E0
5.658015620E-1,1.309341043E-1,-1.654776484E-1,9.790120125E0,9.792393918E0
5.707640620E-1,1.193653196E-1,-1.818731427E-1,9.790216446E0,9.792633148E0
5.757265620E-1,1.219702139E-1,-1.776497662E-1,9.785897255E0,9.788269574E0
5.806906250E-1,1.305701882E-1,-2.127870619E-1,9.818984985E0,9.822158268E0
5.856546870E-1,1.430200338E-1,-2.046563625E-1,9.782698631E0,9.785884297E0
5.906171870E-1,1.524819136E-1,-1.918425858E-1,9.793846130E0,9.796911571E0
5.955796870E-1,1.345158219E-1,-2.102875262E-1,9.848931313E0,9.852094364E0
6.005437500E-1,1.187140942E-1,-1.662342101E-1,9.827450752E0,9.829573497E0
6.055062500E-1,1.309724152E-1,-2.237716615E-1,9.746392250E0,9.749840482E0
6.104687500E-1,1.235791147E-1,-1.685230732E-1,9.771024704E0,9.773259210E0
6.154312500E-1,1.463048756E-1,-1.795076579E-1,9.822020531E0,9.824750145E0
6.203953120E-1,1.159272492E-1,-1.986038238E-1,9.805835724E0,9.808531840E0
6.253578120E-1,1.097502038E-1,-1.583046168E-1,9.824759483E0,9.826647667E0
6.303218750E-1,1.294113994E-1,-1.683219671E-1,9.875938416E0,9.878220446E0
6.352843750E-1,1.077965423E-1,-1.754183620E-1,9.810749054E0,9.812909288E0
6.402484370E-1,1.245655268E-1,-2.017737478E-1,9.816705704E0,9.819569242E0
6.452109370E-1,1.094341725E-1,-1.664640456E-1,9.854572296E0,9.856585679E0
6.501750000E-1,1.572894752E-1,-2.172307074E-1,9.793329239E0,9.797000905E0
6.551375000E-1,1.371590197E-1,-2.309542745E-1,9.823841095E0,9.827512724E0
6.601000000E-1,9.753978252E-2,-1.948114038E-1,9.781060219E0,9.783486316E0
6.650640620E-1,1.218935996E-1,-2.122316062E-1,9.799371719E0,9.802427577E0
6.700265620E-1,1.199973896E-1,-1.859720200E-1,9.836146355E0,9.838636088E0
6.749906250E-1,1.065994352E-1,-1.553453803E-1,9.869234085E0,9.871032218E0
6.799531250E-1,1.063695922E-1,-2.343444675E-1,9.818075180E0,9.821447554E0
6.849156250E-1,1.617809832E-1,-2.006915659E-1,9.806774139E0,9.810161528E0
6.898796870E-1,1.145481840E-1,-1.588026136E-1,9.819788933E0,9.821740897E0
