"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.352859380E-1	-2.702574991E-2	-1.160804778E-1	9.832785606E0	9.833507912E0
6.402484380E-1	-2.681505866E-4	-1.500877291E-1	9.797485352E0	9.798634885E0
6.452125000E-1	-1.040998939E-2	-1.470710188E-1	9.903471947E0	9.904569393E0
6.501750000E-1	-2.590526268E-2	-1.217882559E-1	9.876502991E0	9.877287825E0
6.551375000E-1	-6.698976457E-2	-3.732081503E-2	9.850684166E0	9.850982642E0
6.601015630E-1	-1.176031865E-2	-6.247908622E-2	9.896203041E0	9.896407256E0
6.650640630E-1	-9.988609701E-3	-1.151898354E-1	9.867271423E0	9.867948815E0
6.700281250E-1	-3.685155138E-2	-4.881298542E-2	9.955569267E0	9.955757137E0
6.749906250E-1	-2.026452310E-2	-1.300434619E-1	9.874320030E0	9.875197113E0
6.799546880E-1	-9.758765809E-3	-6.703764945E-2	9.926724434E0	9.926955589E0
6.849171880E-1	-2.640325576E-2	-2.669056132E-2	9.911573410E0	9.911644514E0
6.898796880E-1	3.109589219E-2	-1.238376945E-1	9.831972122E0	9.832801154E0
6.948437500E-1	3.485957626E-3	-1.143279225E-1	9.859724998E0	9.860388434E0
6.998062500E-1	7.910442539E-3	-1.153239086E-1	9.697992325E0	9.698681215E0
7.047703130E-1	-1.888546348E-2	-5.720226839E-2	9.997650146E0	9.997831625E0
7.097328130E-1	-5.544013530E-2	-1.851484030E-1	9.839565277E0	9.841463224E0
7.146968750E-1	4.937801883E-2	-1.857421696E-1	9.751861572E0	9.753755301E0
7.196593750E-1	-2.183512086E-3	-3.869987652E-2	9.974971771E0	9.975047082E0
7.246218750E-1	-3.227383643E-2	-5.716396123E-2	9.706313133E0	9.706535116E0
7.295859380E-1	-3.230256960E-2	-4.921520874E-2	9.967818260E0	9.967992098E0
7.345484380E-1	5.937620066E-3	-2.104503363E-1	9.905185699E0	9.907422891E0
7.395125000E-1	1.874181256E-2	-1.129871681E-1	9.802934647E0	9.803603676E0
7.444750000E-1	-9.314402193E-2	-2.289814502E-2	9.931110382E0	9.931573569E0
7.494375000E-1	-3.821146116E-2	-1.671344340E-1	9.772202492E0	9.773706338E0
7.544015630E-1	2.964021638E-2	-1.699595898E-1	9.895465851E0	9.896969698E0
7.593640630E-1	-1.022802945E-2	-7.430644333E-2	9.965559006E0	9.965841277E0
7.643281250E-1	-1.753513329E-2	-2.741839737E-2	9.730609894E0	9.730664322E0
7.692906250E-1	-4.373727739E-2	-5.746084207E-5	9.853375435E0	9.853472505E0
7.742546880E-1	-8.289684355E-2	-8.712979406E-2	9.862242699E0	9.862975947E0
7.792171880E-1	-2.490927465E-2	-1.470423043E-1	9.910596848E0	9.911718912E0
7.841812500E-1	2.356852219E-2	-2.025494725E-1	9.936827660E0	9.938919745E0
7.891703130E-1	3.481169045E-2	-1.021462232E-1	9.803891182E0	9.804485097E0
7.941062500E-1	6.971915253E-3	-2.282153070E-2	9.913383484E0	9.913412204E0
7.990703130E-1	-7.527370006E-3	-1.544451565E-1	9.847562790E0	9.848776719E0
8.040328130E-1	4.195598885E-2	-1.415643543E-1	9.856123924E0	9.857229813E0
8.089968750E-1	3.542460874E-2	-1.366801858E-1	9.906843185E0	9.907849327E0
8.139593750E-1	5.960604548E-2	-1.064749360E-1	9.695425034E0	9.696192880E0
8.189234380E-1	-1.012268476E-2	-4.069185257E-2	9.853050232E0	9.853139457E0
8.238859380E-1	-3.249410540E-2	-1.065898612E-1	9.860376358E0	9.861005993E0
8.288484380E-1	-2.394201700E-3	-1.701894403E-1	9.863182068E0	9.864650561E0
8.338125000E-1	1.247857977E-2	-1.251114011E-1	9.920489311E0	9.921286043E0
8.387750000E-1	3.704308718E-2	-1.260882467E-1	9.886664391E0	9.887537773E0
8.437390630E-1	-3.246537410E-3	-7.222828269E-2	9.870411873E0	9.870676674E0
8.487015630E-1	3.926490899E-4	-3.327940404E-2	9.880899429E0	9.880955480E0
8.536640630E-1	-2.791639045E-2	-1.123359427E-1	9.927997589E0	9.928672359E0
8.586281250E-1	6.780379452E-3	-1.508634388E-1	9.851096153E0	9.852253609E0
8.635906250E-1	3.084689565E-2	-1.188577488E-1	9.851259232E0	9.852024520E0
8.685531250E-1	1.430774946E-2	-1.245559454E-1	9.812894821E0	9.813695719E0
8.735171880E-1	-5.145618320E-2	-9.463800490E-2	9.868152618E0	9.868740557E0
8.784812500E-1	-5.141787603E-2	7.479486056E-3	9.912387848E0	9.912524027E0
8.834437500E-1	-1.745851897E-2	-5.474102870E-2	9.895072937E0	9.895239755E0
8.884062500E-1	-2.467943169E-2	-6.383899599E-2	9.897889137E0	9.898125775E0
8.933703130E-1	-4.245398194E-2	-5.041231215E-2	9.963680267E0	9.963898244E0
8.983328130E-1	9.548076428E-3	-6.294835359E-2	9.823418617E0	9.823624941E0
9.032953130E-1	-3.290590644E-2	-5.322789401E-2	9.932221413E0	9.932418547E0
9.082593750E-1	-4.204218276E-3	-1.457398534E-1	9.892439842E0	9.893514230E0
9.132218750E-1	7.336792350E-2	-1.377049088E-1	9.780964851E0	9.782209307E0
9.181859380E-1	-1.441309415E-2	-1.481819302E-1	9.886558533E0	9.887679467E0
9.231484380E-1	-1.561019570E-3	-1.697967798E-1	9.849257469E0	9.850721094E0
9.281125000E-1	7.565677166E-3	-9.567230195E-2	9.827201843E0	9.827670451E0
9.330750000E-1	1.747767255E-2	-1.382986605E-1	9.859178543E0	9.860163971E0
9.380375000E-1	1.191354729E-2	-1.689731777E-1	9.825881004E0	9.827341013E0
9.430015630E-1	2.048478834E-2	-1.600475907E-1	9.845340729E0	9.846662832E0
